2023 National Employment Matrix title,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
  Nurse anesthetists,29-1151,49.9,55.1,5.2,10.4,"223,210",Master's degree,4.6,3.5,2.8,3.9,3.8,4.5,3.1,4.3,3.7,3.4,2.5,2.4,4.2,3.0,4.2,3.6,3.9
"  Therapists, all other[2]",29-1129,43.2,48.3,5.1,11.8,"65,010",Bachelor's degree,4.3,3.4,3.0,3.7,3.5,3.8,2.6,4.3,3.4,2.5,1.7,2.4,4.0,2.7,2.7,3.6,3.9
  Barbers,39-5011,78.4,83.3,5.0,6.4,"38,960",Postsecondary nondegree award,3.5,1.6,2.8,2.6,3.3,3.6,3.4,3.6,2.4,2.1,2.0,2.4,3.2,2.3,1.6,3.0,2.4
  Residential advisors,39-9041,95.7,100.7,5.0,5.2,"39,180",High school diploma or equivalent,4.0,3.3,2.9,3.1,3.6,3.6,1.6,4.3,3.6,2.1,1.5,2.1,3.4,3.1,1.5,3.6,3.1
"  Eligibility interviewers, government programs",43-4061,160.0,164.9,5.0,3.1,"51,500",High school diploma or equivalent,4.1,3.7,2.5,3.1,3.4,3.7,2.1,3.7,2.7,2.6,1.1,1.2,3.5,2.3,1.1,3.6,3.8
  Machinists,51-4041,298.0,303.0,5.0,1.7,"56,150",High school diploma or equivalent,3.4,2.6,2.7,3.0,2.1,3.9,3.7,2.7,2.8,3.0,3.1,2.6,3.3,2.5,1.7,2.6,2.8
"  Production workers, all other[2]",51-9199,265.1,270.1,5.0,1.9,"38,820",High school diploma or equivalent,3.5,2.6,2.4,2.8,2.4,3.7,3.2,2.9,2.9,2.5,2.7,2.7,3.3,2.3,1.8,2.7,2.8
  Financial risk specialists[2],13-2054,57.5,62.3,4.8,8.4,"106,000",Bachelor's degree,3.8,3.8,3.0,3.8,2.2,3.8,1.7,2.5,2.9,4.3,1.1,1.2,3.8,2.7,1.3,3.3,3.9
"  Life, physical, and social science technicians, all other[2]",19-4099,83.3,88.2,4.8,5.8,"60,130",Associate's degree,3.7,3.7,2.6,3.4,2.4,3.8,2.7,2.9,2.9,3.1,2.2,2.2,3.4,2.7,3.0,3.2,3.7
"  Airline pilots, copilots, and flight engineers",53-2011,96.3,101.1,4.8,5.0,"226,600",Bachelor's degree,4.4,3.2,2.3,3.7,2.9,4.5,3.8,3.2,3.2,3.2,2.7,2.2,4.1,2.4,2.3,3.6,3.6
  Reservation and transportation ticket agents and travel clerks,43-4181,123.8,128.5,4.7,3.8,"41,460",High school diploma or equivalent,4.1,3.5,2.7,3.0,4.1,4.0,2.4,4.0,2.8,2.6,1.5,2.3,3.7,2.1,1.3,3.8,3.4
"  Information and record clerks, all other[2]",43-4199,162.8,167.4,4.7,2.9,"48,360",High school diploma or equivalent,4.0,3.5,2.5,2.9,3.8,3.5,2.3,3.6,3.0,2.6,1.3,1.5,3.4,2.5,1.2,3.5,3.4
"  Mixing and blending machine setters, operators, and tenders",51-9023,107.8,112.4,4.7,4.3,"47,680",High school diploma or equivalent,3.1,2.3,2.1,2.6,2.1,3.9,3.3,2.7,3.2,2.3,3.0,2.9,3.3,2.3,2.0,2.6,3.0
  Audio and video technicians,27-4011,87.3,91.9,4.6,5.3,"54,830",Postsecondary nondegree award,4.0,3.8,3.6,3.3,3.0,3.6,3.2,3.1,3.0,2.3,2.8,2.1,3.6,2.9,1.7,3.3,3.4
"  Maintenance workers, machinery",49-9043,59.0,63.6,4.6,7.8,"60,500",High school diploma or equivalent,3.4,2.4,2.7,2.8,2.2,3.8,3.2,2.9,2.7,2.4,3.6,2.9,3.2,2.4,2.1,2.6,2.7
"  Helpers--installation, maintenance, and repair workers",49-9098,104.6,109.2,4.6,4.4,"38,860",High school diploma or equivalent,3.5,2.7,2.3,2.8,2.7,3.7,3.3,3.1,2.9,2.3,3.3,3.2,3.4,2.2,1.9,2.7,2.3
  Loan officers,13-2072,334.1,338.7,4.5,1.4,"74,180",Bachelor's degree,3.8,3.5,2.4,3.4,3.8,3.7,2.1,3.3,2.9,3.4,1.2,1.2,3.9,2.6,1.1,3.5,3.7
"  Engineering teachers, postsecondary",25-1032,48.8,53.3,4.5,9.2,"106,120",Doctoral or professional degree,4.2,3.8,3.4,3.8,2.5,3.4,1.6,3.3,3.7,3.9,1.7,1.2,3.7,2.9,3.3,3.9,3.9
  Retail salespersons,41-2031,"3,810.1","3,814.7",4.5,0.1,"34,580",No formal educational credential,3.7,2.8,2.7,2.6,4.2,3.4,2.2,3.6,2.7,2.7,1.6,2.3,3.3,2.3,1.2,3.4,3.0
  Tax preparers,13-2082,103.8,108.2,4.4,4.2,"50,560",High school diploma or equivalent,4.0,3.7,2.4,3.3,3.1,3.9,2.2,3.2,2.7,3.3,1.2,1.2,3.5,2.5,1.1,3.0,3.5
  Health education specialists,21-1091,62.1,66.4,4.3,7.0,"63,000",Bachelor's degree,4.2,3.6,3.2,3.6,3.8,3.4,1.8,4.0,3.6,2.5,1.5,1.7,3.7,3.4,2.3,3.9,4.1
  Paralegals and legal assistants,23-2011,366.2,370.5,4.3,1.2,"61,010",Associate's degree,3.7,3.8,2.3,3.0,3.0,3.6,2.0,3.1,2.4,2.0,1.2,1.3,3.2,2.2,1.2,3.3,3.9
  Optometrists,29-1041,49.3,53.6,4.3,8.7,"134,830",Doctoral or professional degree,4.0,3.8,2.7,3.8,3.9,4.0,3.3,4.2,3.6,3.1,1.7,1.6,4.0,3.0,3.6,3.6,4.1
  Athletic trainers,29-9091,34.3,38.7,4.3,12.7,"60,250",Master's degree,4.3,3.4,3.0,3.4,3.3,4.0,2.6,4.2,3.2,2.1,1.6,2.7,4.0,2.7,2.5,3.6,3.6
  Librarians and media collections specialists,25-4022,142.2,146.4,4.2,2.9,"64,320",Master's degree,4.0,3.9,3.1,3.1,3.5,3.2,2.2,3.7,3.1,2.2,1.3,1.8,3.3,3.1,1.3,3.7,3.9
  Crossing guards and flaggers,33-9091,93.0,97.2,4.2,4.5,"37,700",No formal educational credential,3.4,1.8,2.0,2.5,3.1,3.8,2.2,3.3,2.2,1.5,1.3,2.5,3.1,2.0,1.0,2.8,2.3
  First-line supervisors of production and operating workers,51-1011,690.9,695.1,4.2,0.6,"71,190",High school diploma or equivalent,3.9,3.2,2.9,3.5,3.0,3.7,2.7,3.5,4.0,2.9,2.6,2.4,3.9,3.1,1.8,3.6,3.4
  Computer numerically controlled tool programmers,51-9162,28.3,32.5,4.2,14.9,"65,670",Postsecondary nondegree award,3.5,4.0,3.0,3.4,2.3,3.9,3.1,2.8,3.1,3.5,2.8,2.2,3.7,2.8,1.9,2.7,3.3
  Purchasing managers,11-3061,81.3,85.4,4.1,5.1,"139,510",Bachelor's degree,4.2,3.8,3.1,3.7,3.3,3.6,1.3,3.6,4.1,3.2,1.4,1.3,3.8,3.6,1.4,3.7,3.8
  Aerospace engineers,17-2011,68.9,73.0,4.1,6.0,"134,830",Bachelor's degree,3.9,4.0,3.2,4.1,2.5,3.6,1.6,2.8,3.1,3.8,1.8,1.2,3.8,2.7,2.8,3.4,4.0
  Instructional coordinators,25-9031,225.2,229.3,4.1,1.8,"74,720",Master's degree,4.1,3.7,3.4,3.6,3.1,3.1,1.5,3.9,3.9,3.1,1.3,1.4,3.7,3.3,1.5,4.0,4.1
  First-line supervisors of non-retail sales workers,41-1012,347.8,351.9,4.1,1.2,"84,130",High school diploma or equivalent,3.7,3.4,2.5,3.4,3.6,3.4,2.0,3.5,4.2,3.1,1.6,1.5,4.0,3.2,1.1,3.7,3.6
  Public safety telecommunicators,43-5031,102.7,106.8,4.1,4.0,"50,730",High school diploma or equivalent,4.3,4.1,2.5,3.3,4.3,4.3,2.8,4.0,3.3,2.0,1.9,1.6,3.8,2.8,1.4,3.8,3.6
  Medical equipment preparers,31-9093,70.7,74.7,4.0,5.7,"46,490",High school diploma or equivalent,4.0,3.3,2.6,3.0,3.4,4.0,3.2,3.5,3.1,2.3,2.7,2.9,3.5,2.9,2.4,2.9,3.2
"  Entertainment and recreation managers, except gambling[2]",11-9072,35.8,39.7,3.9,10.8,"77,180",Bachelor's degree,4.1,3.2,3.5,3.1,3.5,3.5,1.9,4.1,3.6,2.4,1.8,2.6,3.5,3.4,1.4,3.6,3.3
  Statisticians,15-2041,32.4,36.2,3.8,11.8,"103,300",Master's degree,3.7,3.9,2.9,3.9,2.0,3.5,1.7,2.7,2.8,4.6,1.1,1.1,3.5,2.3,2.3,3.4,4.0
"  Biological scientists, all other[2]",19-1029,66.8,70.6,3.8,5.6,"93,330",Bachelor's degree,4.1,3.9,3.2,3.9,2.4,4.0,2.6,3.0,3.4,3.5,2.1,1.7,3.8,3.0,3.9,3.5,4.2
"  Social workers, all other[2]",21-1029,69.0,72.8,3.8,5.5,"69,480",Bachelor's degree,4.1,3.6,3.0,3.5,4.0,3.5,1.6,4.4,3.4,2.0,1.3,1.8,3.9,2.7,1.8,3.8,4.0
  Drywall and ceiling tile installers,47-2081,116.6,120.4,3.8,3.3,"58,140",No formal educational credential,3.1,1.6,2.3,2.6,2.4,3.6,3.3,2.8,2.8,2.6,2.2,3.4,3.1,2.2,1.5,2.6,2.5
  Interior designers,27-1025,92.2,95.9,3.7,4.0,"63,490",Bachelor's degree,4.0,3.7,4.3,3.5,3.5,3.8,1.5,3.6,3.7,3.0,1.5,1.4,3.6,3.3,1.6,3.6,3.7
  Animal trainers,39-2011,57.9,61.6,3.7,6.4,"38,750",High school diploma or equivalent,3.7,2.7,3.0,2.9,3.5,3.4,2.7,3.4,3.3,2.0,1.5,3.0,3.7,2.6,1.8,3.1,3.1
  Sales engineers,41-9031,59.7,63.4,3.7,6.3,"121,520",Bachelor's degree,4.1,3.5,3.1,3.8,3.5,3.6,1.7,3.6,2.9,3.3,1.7,1.2,4.1,2.6,2.0,3.7,3.8
  Magnetic resonance imaging technologists,29-2035,43.4,47.0,3.6,8.4,"88,180",Associate's degree,3.9,3.8,2.6,3.1,3.5,4.2,3.0,3.7,3.2,2.6,2.4,2.3,3.5,2.6,3.0,3.3,3.5
  First-line supervisors of firefighting and prevention workers,33-1021,87.0,90.7,3.6,4.2,"92,430",Postsecondary nondegree award,4.1,3.4,2.9,3.3,3.9,4.1,2.9,4.0,4.3,2.7,2.8,3.1,4.0,3.3,2.5,3.6,3.6
"  Bus drivers, school[2]",53-3051,365.3,368.9,3.6,1.0,"47,040",High school diploma or equivalent,3.7,2.3,2.2,2.6,3.5,3.8,3.3,3.5,2.6,2.1,2.4,2.3,3.3,2.1,1.3,2.9,2.8
"  Directors, religious activities and education",21-2021,155.9,159.4,3.5,2.2,"54,840",Bachelor's degree,4.3,3.2,3.3,3.4,3.1,2.7,1.3,4.3,3.6,2.5,1.4,1.5,3.6,3.4,1.3,3.8,3.7
"  Art, drama, and music teachers, postsecondary",25-1121,127.4,130.9,3.5,2.7,"80,190",Master's degree,4.1,3.4,4.4,3.4,3.0,3.1,2.1,3.8,3.7,2.1,1.6,1.7,3.5,2.9,1.7,4.1,4.0
  Actors,27-2011,76.0,79.5,3.5,4.5,—,"Some college, no degree",3.7,2.5,4.2,2.5,3.0,3.3,1.5,3.6,2.6,1.2,1.1,2.3,3.0,1.8,1.2,3.9,3.2
  Musicians and singers,27-2042,169.3,172.8,3.5,2.1,—,No formal educational credential,3.6,2.2,3.7,2.8,2.6,3.6,3.0,3.3,2.6,2.1,1.4,2.2,2.9,2.1,1.2,3.2,3.0
  Refuse and recyclable material collectors,53-7081,148.4,151.9,3.5,2.3,"48,350",No formal educational credential,2.7,1.6,1.6,2.1,2.3,3.1,2.9,2.5,2.1,1.3,2.6,3.0,2.7,1.5,1.2,2.5,2.3
  Semiconductor processing technicians,51-9141,26.6,30.1,3.4,13.0,"51,180",High school diploma or equivalent,3.5,2.9,2.5,2.9,2.4,3.8,3.1,3.1,3.0,2.2,2.7,2.6,2.9,2.3,1.9,2.8,3.1
  Parts salespersons,41-2022,267.9,271.2,3.3,1.2,"37,440",No formal educational credential,3.8,3.6,2.6,2.8,4.2,3.4,2.3,3.6,3.3,2.9,2.3,2.5,3.6,2.8,1.2,3.5,3.4
"  Floor layers, except carpet, wood, and hard tiles",47-2042,32.8,36.1,3.3,10.1,"54,340",No formal educational credential,3.3,1.5,2.6,2.7,2.8,3.3,3.1,2.8,3.0,2.4,1.9,2.8,3.4,2.4,1.7,2.6,2.5
  Training and development managers,11-3131,43.2,46.4,3.2,7.3,"127,090",Bachelor's degree,4.2,3.5,3.2,3.7,3.2,3.2,1.8,3.9,4.2,2.8,1.2,1.3,3.8,3.6,1.4,3.8,4.0
  Property appraisers and assessors[2],13-2020,83.9,87.1,3.2,3.9,"65,420",Bachelor's degree,3.6,3.6,2.4,3.4,3.1,3.5,1.9,3.0,2.5,3.3,1.5,1.7,3.6,2.7,1.3,3.2,3.7
  Surveying and mapping technicians,17-3031,57.4,60.6,3.2,5.6,"51,940",High school diploma or equivalent,3.4,3.9,2.5,3.3,2.4,3.8,3.0,2.7,2.8,3.4,2.1,2.0,3.4,2.5,1.9,2.9,3.3
  Biochemists and biophysicists,19-1021,35.7,39.0,3.2,9.0,"103,650",Doctoral or professional degree,4.3,4.0,3.6,4.1,2.1,4.0,2.6,2.9,3.5,3.9,2.3,1.5,3.9,3.0,4.5,3.5,4.3
  Chemical technicians,19-4031,58.3,61.4,3.2,5.5,"57,790",Associate's degree,3.5,3.6,2.6,3.6,2.2,4.1,3.1,2.8,2.8,3.1,2.6,2.3,3.5,2.8,2.9,3.1,3.8
  Occupational health and safety technicians,19-5012,27.6,30.8,3.2,11.4,"58,440",High school diploma or equivalent,3.9,3.8,2.7,3.7,3.0,3.8,2.2,3.5,3.4,2.9,2.0,2.1,3.8,2.9,3.3,3.5,3.8
  Probation officers and correctional treatment specialists,21-1092,90.7,94.0,3.2,3.6,"64,520",Bachelor's degree,4.1,3.6,2.6,3.3,3.9,3.8,2.1,3.8,3.1,2.0,1.6,2.0,3.8,2.8,1.4,3.6,3.8
  Special effects artists and animators,27-1014,73.3,76.4,3.2,4.3,"99,800",Bachelor's degree,3.9,3.9,3.7,3.2,2.8,3.8,2.8,3.1,3.1,2.4,1.6,1.2,3.6,2.5,1.2,3.5,3.5
  Tree trimmers and pruners,37-3013,67.1,70.4,3.2,4.8,"50,430",High school diploma or equivalent,3.5,1.6,2.4,2.8,2.8,3.8,3.4,3.2,3.1,2.0,3.0,3.5,3.6,2.4,1.9,2.7,2.6
  Mechanical door repairers,49-9011,27.7,30.9,3.2,11.4,"51,050",High school diploma or equivalent,3.4,2.4,2.7,2.8,3.1,3.5,3.2,3.2,2.9,2.4,3.2,3.2,3.5,2.4,1.4,2.8,2.9
  Commercial pilots,53-2012,56.5,59.7,3.2,5.7,"122,670",Postsecondary nondegree award,4.0,3.0,2.4,3.5,3.3,4.3,3.4,3.4,3.2,2.8,2.6,2.4,3.9,2.5,2.1,3.4,3.3
  Surveyors,17-1022,52.6,55.7,3.1,5.9,"72,740",Bachelor's degree,3.8,3.9,2.7,3.6,3.2,4.0,3.0,3.0,3.6,4.1,2.3,2.5,3.6,3.0,2.0,3.3,3.8
"  Engineering technologists and technicians, except drafters, all other[2]",17-3029,69.5,72.6,3.1,4.4,"77,390",Associate's degree,3.7,3.7,2.8,3.6,2.7,3.8,2.7,3.0,3.0,3.3,2.6,1.9,3.7,2.7,2.5,3.1,3.5
"  Ushers, lobby attendants, and ticket takers",39-3031,119.7,122.7,3.1,2.6,"31,150",No formal educational credential,3.5,2.3,2.2,2.3,3.8,3.0,2.3,3.5,2.5,2.0,1.5,2.2,2.8,1.8,1.2,3.0,2.5
  Electrical and electronic engineering technologists and technicians,17-3023,99.6,102.6,3.0,3.0,"77,180",Associate's degree,3.8,3.9,2.8,3.5,2.6,3.8,2.9,3.0,3.0,3.2,2.9,1.8,3.7,2.8,2.3,3.0,3.4
  Industrial engineering technologists and technicians,17-3026,74.5,77.6,3.0,4.1,"64,790",Associate's degree,3.8,3.5,3.0,3.7,2.6,3.8,2.5,3.0,3.0,3.2,2.5,2.0,3.9,2.7,2.8,3.1,3.4
  Environmental engineers,17-2081,41.3,44.2,2.9,6.9,"104,170",Bachelor's degree,3.7,3.5,2.9,3.7,2.9,3.4,1.5,3.1,3.4,3.6,1.8,1.3,3.7,3.1,3.4,3.5,4.0
"  Psychologists, all other[2]",19-3039,56.6,59.4,2.9,5.0,"117,580",Master's degree,4.2,3.3,2.9,3.6,3.2,3.5,1.5,4.2,3.1,2.7,1.1,1.2,3.8,2.2,1.7,3.8,4.2
  Sheet metal workers,47-2211,124.2,127.1,2.9,2.3,"60,850",High school diploma or equivalent,3.4,2.5,2.6,2.9,3.1,4.0,3.4,3.1,3.8,3.2,3.2,3.1,3.1,2.7,1.8,2.7,2.7
"  Food processing workers, all other[2]",51-3099,66.8,69.7,2.9,4.4,"38,420",No formal educational credential,3.4,2.3,2.4,2.6,2.7,3.7,3.2,3.1,3.0,2.4,2.1,2.6,3.1,2.4,1.8,2.7,2.6
  Athletes and sports competitors,27-2021,25.1,27.8,2.8,11.1,"62,360",No formal educational credential,3.9,2.7,2.7,3.1,3.2,3.5,2.7,3.4,3.4,2.4,2.0,3.5,3.5,2.7,1.8,3.5,3.0
"  Protective service workers, all other[2]",33-9099,83.5,86.3,2.8,3.3,"41,600",High school diploma or equivalent,4.0,3.4,2.9,2.9,3.8,3.9,2.2,3.8,3.4,2.0,1.9,2.5,3.4,2.6,1.9,3.2,3.0
  Gambling dealers,39-3011,86.8,89.6,2.8,3.2,"33,280",High school diploma or equivalent,3.5,1.7,2.0,2.3,3.6,3.6,2.9,3.4,2.5,3.1,1.3,2.2,2.7,1.6,1.1,3.2,2.5
  Demonstrators and product promoters,41-9011,56.5,59.2,2.8,4.9,"37,960",No formal educational credential,3.5,2.4,2.6,2.7,4.0,3.2,2.4,3.6,2.8,2.1,1.5,2.3,3.3,2.2,1.2,3.6,3.1
"  Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,47.1,49.8,2.8,5.9,"39,270",High school diploma or equivalent,3.5,1.7,2.6,2.6,3.0,3.4,3.2,2.9,2.8,2.5,2.8,3.2,3.0,2.6,1.5,2.5,2.3
"  Computer science teachers, postsecondary",25-1021,45.0,47.7,2.7,6.1,"96,690",Doctoral or professional degree,4.2,4.2,3.3,3.7,2.9,3.2,1.6,3.5,3.6,3.3,1.5,1.2,3.9,2.7,2.1,3.8,4.0
  Structural iron and steel workers,47-2221,66.1,68.9,2.7,4.1,"62,700",High school diploma or equivalent,3.6,1.6,2.5,2.7,2.6,3.9,3.7,3.1,3.1,2.7,2.7,3.8,3.3,2.4,1.6,2.8,2.6
"  Psychology teachers, postsecondary",25-1066,51.1,53.6,2.6,5.0,"80,330",Doctoral or professional degree,4.3,3.7,3.2,3.7,2.9,3.2,1.5,3.9,3.7,3.0,1.2,1.2,3.8,2.8,2.5,3.9,4.2
"  Entertainers and performers, sports and related workers, all other[2]",27-2099,35.7,38.3,2.6,7.3,—,No formal educational credential,3.9,3.0,3.6,3.3,3.0,3.5,2.2,3.6,3.3,2.1,1.5,2.3,3.6,2.8,1.4,3.8,3.4
  Detectives and criminal investigators,33-3021,113.4,116.0,2.6,2.3,"93,580",High school diploma or equivalent,4.3,3.8,2.9,3.5,4.0,4.2,2.4,3.8,3.3,2.4,1.8,2.4,4.1,2.7,1.8,3.8,3.8
"  Molders, shapers, and casters, except metal and plastic",51-9195,49.2,51.8,2.6,5.3,"45,690",High school diploma or equivalent,3.4,2.0,2.2,2.5,2.2,3.7,3.3,2.8,2.6,2.4,2.7,3.2,2.7,2.3,1.6,2.7,2.9
  Forensic science technicians,19-4092,18.6,21.2,2.5,13.6,"67,440",Bachelor's degree,3.7,3.6,2.3,3.4,3.2,4.1,2.7,3.0,2.9,2.7,2.0,2.4,3.8,2.2,3.0,3.6,4.0
"  Education teachers, postsecondary",25-1081,77.2,79.7,2.5,3.3,"72,090",Doctoral or professional degree,3.9,3.5,3.1,3.7,2.9,3.5,2.0,3.4,3.6,2.4,1.1,1.2,3.9,2.9,1.5,4.2,4.1
"  Educational instruction and library workers, all other[2]",25-9099,127.2,129.7,2.5,2.0,"48,400",Bachelor's degree,4.1,3.5,3.2,3.3,3.2,3.3,1.6,4.0,3.5,3.0,1.2,1.5,3.5,2.7,2.2,3.7,3.9
  General internal medicine physicians,29-1216,73.8,76.3,2.5,3.4,"236,350",Doctoral or professional degree,4.3,3.8,2.7,3.9,3.4,4.2,2.6,4.2,3.2,3.1,1.5,1.9,4.1,2.8,3.6,3.6,4.1
  First-line supervisors of security workers[2],33-1091,67.8,70.3,2.5,3.7,"58,610",High school diploma or equivalent,4.0,3.6,2.9,3.5,3.4,3.6,1.9,3.8,3.9,2.8,1.5,1.6,3.8,3.2,1.1,3.5,3.8
"  Roustabouts, oil and gas",47-5071,46.0,48.6,2.5,5.5,"47,510",No formal educational credential,3.1,2.2,2.4,2.5,2.7,3.5,3.3,3.0,3.3,2.1,3.0,3.3,3.4,2.8,1.7,2.6,2.2
"  Environmental science and protection technicians, including health",19-4042,33.9,36.2,2.4,7.0,"49,490",Associate's degree,3.7,3.7,2.4,3.5,3.1,3.6,2.6,3.0,3.0,3.2,2.2,2.2,3.4,2.8,3.2,3.5,3.8
  Social science research assistants,19-4061,37.5,39.9,2.4,6.3,"58,040",Bachelor's degree,3.8,3.9,2.6,3.4,2.4,3.4,1.7,2.9,2.7,3.1,1.3,1.2,3.1,2.5,2.1,3.2,3.9
"  Umpires, referees, and other sports officials",27-2023,23.1,25.5,2.4,10.4,"38,820",High school diploma or equivalent,4.1,2.5,2.0,2.8,2.7,3.4,1.5,3.2,2.9,2.2,1.2,2.6,3.4,1.7,1.4,3.3,2.9
  Cardiovascular technologists and technicians,29-2031,58.4,60.9,2.4,4.2,"67,260",Associate's degree,4.0,3.5,2.4,3.2,3.5,4.0,3.2,4.0,2.9,2.7,2.5,2.5,3.5,2.4,2.6,3.3,3.5
"  Healthcare practitioners and technical workers, all other[2]",29-9099,41.9,44.3,2.4,5.8,"64,030",Postsecondary nondegree award,4.0,3.7,2.8,3.5,3.1,3.9,2.5,3.7,3.3,2.7,1.6,2.1,3.6,2.7,2.3,3.5,3.7
  Brickmasons and blockmasons,47-2021,72.6,75.0,2.4,3.3,"60,800",High school diploma or equivalent,3.4,1.9,2.6,2.8,2.7,3.7,3.2,2.9,3.3,3.0,2.5,3.6,3.2,2.9,1.8,2.7,2.7
  Septic tank servicers and sewer pipe cleaners,47-4071,30.1,32.6,2.4,8.1,"49,140",High school diploma or equivalent,3.3,2.2,2.3,2.7,3.3,3.2,3.4,3.0,2.7,2.5,3.1,3.1,3.4,2.4,2.0,2.7,2.7
  Fundraising managers[2],11-2033,38.2,40.5,2.3,5.9,"123,480",Bachelor's degree,3.9,3.6,3.2,3.5,3.7,3.3,1.6,3.9,3.5,3.0,1.3,1.2,3.7,3.2,1.1,3.9,3.9
"  Opticians, dispensing",29-2081,77.3,79.5,2.3,2.9,"46,560",High school diploma or equivalent,4.0,3.7,2.8,3.2,4.3,3.7,3.1,3.8,3.4,3.1,2.2,1.8,3.7,2.9,2.2,3.5,3.7
  Orderlies,31-1132,50.0,52.2,2.3,4.5,"37,700",High school diploma or equivalent,3.5,2.2,2.0,2.4,3.4,3.7,3.0,3.9,2.6,1.8,1.7,3.4,3.2,2.0,1.5,3.0,2.6
  Concierges,39-6012,41.8,44.0,2.3,5.4,"37,320",High school diploma or equivalent,4.1,3.5,3.3,2.9,3.9,3.4,1.7,4.3,3.5,2.2,1.3,1.8,3.6,2.7,1.1,3.8,3.0
  Travel agents,41-3041,68.8,71.2,2.3,3.4,"48,450",High school diploma or equivalent,3.4,3.7,2.4,2.9,3.7,4.0,2.4,3.3,2.6,2.7,1.3,1.2,3.4,2.5,1.1,3.6,3.5
  Billing and posting clerks,43-3021,449.0,451.3,2.3,0.5,"47,170",High school diploma or equivalent,3.7,3.7,2.3,2.8,2.7,3.4,2.3,3.2,2.5,3.2,1.4,1.3,3.2,2.2,1.3,2.9,3.3
"  Helpers, construction trades, all other[2]",47-3019,28.0,30.4,2.3,8.3,"40,760",No formal educational credential,3.5,2.0,2.6,2.7,2.8,3.6,3.3,3.0,3.0,2.5,3.0,3.2,3.2,2.7,1.9,2.7,2.4
"  Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,130.0,132.3,2.3,1.8,"46,060",High school diploma or equivalent,3.9,3.0,2.7,3.1,2.2,3.9,3.3,3.1,3.1,2.7,3.2,2.7,3.2,2.7,1.6,2.7,3.0
"  Media and communication workers, all other[2]",27-3099,27.0,29.1,2.2,8.0,"71,770",High school diploma or equivalent,4.0,3.4,3.2,3.2,3.3,3.6,1.7,3.4,3.2,2.0,1.2,1.3,3.6,2.6,1.2,3.9,4.1
  Film and video editors,27-4032,47.2,49.4,2.2,4.7,"70,980",Bachelor's degree,4.4,4.0,4.2,3.2,2.9,3.8,2.5,3.4,3.0,2.0,1.8,1.3,3.2,2.6,1.1,3.6,3.4
  Exercise physiologists,29-1128,21.5,23.7,2.2,10.4,"58,160",Bachelor's degree,3.9,3.5,2.7,3.6,3.6,3.5,2.2,4.2,3.3,2.8,1.7,2.6,3.7,2.5,2.7,3.7,4.0
  Real estate brokers,41-9021,113.6,115.8,2.2,2.0,"72,280",High school diploma or equivalent,4.2,3.5,2.8,3.2,3.7,3.5,1.6,3.6,3.0,2.8,1.4,1.3,3.8,2.7,1.3,3.6,3.6
  Chemical engineers,17-2041,21.4,23.5,2.1,9.8,"121,860",Bachelor's degree,3.7,4.0,3.3,4.1,2.4,4.0,1.8,2.8,3.3,4.1,2.0,1.2,4.0,3.0,4.0,3.2,3.7
  Epidemiologists,19-1041,11.0,13.1,2.1,18.8,"83,980",Master's degree,3.8,3.8,3.3,4.2,2.8,3.7,1.5,3.4,3.5,3.8,1.1,1.2,4.1,2.9,3.0,3.9,4.3
  Psychiatrists,29-1223,27.0,29.1,2.1,7.6,">=239,200",Doctoral or professional degree,4.3,3.4,2.9,3.9,3.6,3.9,1.4,4.5,3.4,2.7,1.2,1.5,4.2,2.4,3.1,3.7,4.1
"  First-line supervisors of farming, fishing, and forestry workers",45-1011,68.9,71.0,2.1,3.1,"59,330",High school diploma or equivalent,3.6,2.8,2.5,3.1,2.8,3.6,3.0,3.2,3.6,2.8,2.8,2.8,3.7,3.2,2.6,3.2,3.1
  Glaziers,47-2121,56.5,58.6,2.1,3.8,"55,440",High school diploma or equivalent,3.3,2.0,2.5,2.8,2.9,3.8,3.2,3.0,3.1,2.5,2.6,3.1,3.3,2.6,1.6,2.6,2.7
  Automotive body and related repairers,49-3021,169.2,171.4,2.1,1.3,"51,680",High school diploma or equivalent,3.6,2.1,3.0,2.9,2.5,4.0,3.5,2.9,2.9,2.3,3.0,3.0,3.4,2.8,1.7,2.7,2.6
  Budget analysts,13-2031,50.8,52.7,2.0,3.9,"87,930",Bachelor's degree,3.9,3.7,2.5,3.8,2.4,3.8,1.5,3.2,2.8,3.9,1.1,1.2,3.7,2.9,1.1,3.4,3.7
  Urban and regional planners,19-3051,45.2,47.1,2.0,4.3,"83,720",Master's degree,4.1,3.4,3.1,3.9,3.5,3.1,1.6,3.5,3.5,3.0,1.1,1.2,3.8,3.2,1.8,3.9,4.0
